Species,BBW,BBZ,BLG,HH,HZ,JJ,JL,LCG,LH,LHH,LHK,MJ,NL,NL2,NL6,NL7,OJ,SY,SYC,WSK,YR,YRS,ZJ,ZJJ
s__Acaryochloris_marina,1262,1054,1212,2924,3574,8218,1250,3174,3076,1620,472,1826,702,846,1212,1436,2794,1964,2544,632,1516,2946,878,862
s__Chelativorans_sp._BNC1,2180,1918,1196,2486,3702,4786,1106,2972,2332,942,740,1940,1452,1098,1960,2760,2664,1988,1792,1170,2170,1910,1424,1266
s__Ferrimonas_balearica,968,1500,1106,5132,3428,4308,1326,3134,4166,1506,664,1922,530,290,1016,1260,2470,2084,2670,736,2546,3302,882,992
s__Bradyrhizobium_retamae,1482,706,1274,960,3662,5924,600,2550,1038,522,776,1942,3332,5138,2280,4528,2304,1190,928,914,762,1216,2598,1306
s__candidate_division_WOR_3_bacterium_SM23_60,736,568,1688,1800,2334,18178,688,1804,1228,1488,770,1544,874,2512,984,1154,1636,1108,1432,708,866,1712,824,1282
s__Halomonas_salina,722,1268,976,2982,2936,4208,926,2618,3418,1542,624,1568,472,406,986,922,2010,1650,9938,528,2128,3476,818,778
s__Pseudoxanthomonas_dokdonensis,1454,942,2444,4674,2782,394,1260,3058,4574,1468,1436,2126,866,626,1232,1832,2094,2316,2964,1108,2274,3366,1192,1372
s__Saccharophagus_degradans,806,1000,1114,4488,4534,3302,1524,3514,4460,1338,458,2312,480,426,1086,1238,3140,2394,2174,630,2468,3278,766,912
s__Dyella_jiangningensis,848,822,1884,4450,3812,1662,1314,3266,4530,782,1118,2086,764,770,1036,1114,2716,2216,3502,1206,2346,3308,1032,1244
s__Rhodopirellula_islandica,2150,1686,1348,1368,5570,6698,690,3058,1438,1800,646,1950,858,1038,1752,2402,3148,2090,1960,730,2216,1312,890,1008
s__Chloroherpeton_thalassium,1072,786,1852,2596,3900,8624,916,3246,1722,1706,810,1890,838,1350,1366,1514,2300,1528,2766,868,1380,2206,952,1588
s__Leptolyngbya_sp._JSC-1,1150,682,1414,1522,3048,13564,744,2316,1244,1406,1760,1456,944,1374,1260,1640,2058,1128,3120,1176,886,1690,1334,812
s__Thermosulfurimonas_dismutans,924,742,2208,1910,3766,7560,762,2602,1388,1702,1344,1546,1650,4194,1618,2000,2030,1326,1482,1132,840,2266,970,1756
s__miscellaneous_Crenarchaeota_group_archaeon_SMTZ-80,376,210,498,508,1234,35416,262,868,428,704,192,528,566,1204,426,646,856,398,462,216,332,488,442,356
s__Psychroserpens_sp._Hel_I_66,486,456,978,4022,1092,362,482,2186,6280,1426,130,3602,248,130,844,744,630,9578,9312,90,1276,1280,366,1580
s__Syntrophobacter_sp._DG_60,1238,1108,978,2004,1732,12854,1048,1664,1254,1666,754,978,1714,4774,2228,2180,1668,980,498,562,760,2884,658,1394
s__Solimonas_variicoloris,1144,1112,2374,3432,3452,2434,1422,2800,3194,832,2102,2338,830,888,1246,1688,2662,1800,1798,2074,2144,2616,1644,1530
s__Herminiimonas_sp._CN,952,230,5742,936,3386,2176,746,3472,962,1126,3968,2456,1470,1794,1122,1248,3666,1180,792,4398,642,1156,1808,2044
s__Afipia_sp._P52-10,2050,984,2402,808,3540,3040,704,1778,934,592,1206,2220,3232,5644,2510,3898,1898,906,1150,1866,1158,842,2236,1654
s__Thermosulfidibacter_takaii,916,448,2184,1566,3300,8284,610,3022,1564,1586,1326,1860,1524,3766,1340,1606,2560,1322,1638,1296,1036,1626,1094,1750
s__Nakamurella_multipartita,4792,2174,1456,2586,1990,1466,436,1940,820,4266,680,2260,2088,1476,3000,4322,1454,1264,2244,602,1400,886,2750,860
s__Nitrosomonas_cryotolerans,772,784,3310,2866,3508,4094,1194,2566,2084,3336,1418,1942,806,1034,936,1098,2142,1790,1932,2746,1500,2752,694,1850
s__Streptosporangium_roseum,2626,1080,1484,2088,3362,3558,494,2814,1826,2110,628,2066,1584,1382,2182,3656,2654,1736,2176,654,1916,1972,2206,888
s__Sediminimonas_qiaohouensis,2218,1836,354,5542,1894,2018,808,1740,4066,2290,126,1390,786,388,1374,1700,1648,2538,1580,144,5626,4900,1122,974
s__uncultured_marine_virus,154,266,400,5098,7300,870,5076,5654,5614,446,86,1850,36,58,158,54,6126,1098,2076,84,1604,2028,460,430
s__Jejuia_pallidilutea,824,928,652,6310,968,1104,562,1868,4916,3576,72,3122,418,132,898,872,560,9704,5240,150,1400,978,346,1382
s__Luteimonas_sp._J29,1004,840,2136,3880,3982,972,1298,3128,3778,1314,1302,1970,794,748,1118,1360,2750,3004,3046,1106,2370,2746,1100,1034
s__Candidatus_Cloacimonas_sp._SDB,846,1028,1414,3452,2804,7266,1198,2450,2426,2464,770,1758,912,1824,1172,1068,2328,1804,2318,596,1804,3180,770,1056
s__Rhodobacteraceae_bacterium_HLUCCO07,2386,1934,418,4804,1958,1018,854,1860,3290,2598,176,1782,982,500,1396,1782,1522,3492,1610,182,5598,3794,1566,1206
s__Chlorogloeopsis_fritschii,1052,518,1198,2170,3950,10388,954,2734,1884,1026,2206,1418,1004,1496,1096,1496,2500,1414,2186,596,1132,2026,1168,1060
s__Sinorhizobium_meliloti,2330,1778,1930,1882,3128,5330,866,2104,1758,1302,1644,1910,1712,1444,2156,2994,2036,1560,1328,1242,1360,1788,1516,1496
s__Knoellia_aerolata,3848,1064,824,1232,1348,414,614,1938,930,2062,512,8136,2634,920,2640,3862,1240,1438,5414,474,868,1050,2206,786
s__Salinarimonas_rosea,2772,2130,1588,1916,2650,4486,736,1884,1548,1426,972,1636,1614,1770,2356,3572,1524,2102,1346,1304,2302,1798,1496,1492
s__Marinobacterium_stanieri,924,780,866,3868,4164,2830,1440,3280,5268,1322,748,1986,558,540,1140,1136,3460,2434,1700,602,2126,3344,806,978
s__Acidithrix_ferrooxidans,2262,1352,1526,1478,3970,260,662,4492,1744,914,246,3054,1362,1798,1674,2994,3408,2650,1740,340,2736,2088,2730,740
s__Anaerolineae_bacterium_49_20,822,546,1410,2338,1210,10776,926,1320,1644,6700,220,1818,640,1230,876,984,1496,1404,2484,732,1202,1570,2984,782
s__Flavobacteriales_bacterium_ALC-1,696,498,752,5360,1244,1782,618,3526,6900,1978,64,3016,272,122,740,794,806,6330,5072,78,1814,1780,480,1388
s__Acidimicrobium_sp._BACL19_MAG-120924-bin39,3186,1954,2204,1210,3188,222,666,4778,1150,1206,296,2912,1524,972,2300,3952,2706,2280,1432,418,2292,1722,2532,876
s__Flammeovirgaceae_bacterium_311,868,694,2328,2820,2428,6814,866,2786,2610,1378,720,2652,694,1338,1194,1506,1454,1430,5246,704,1478,1958,838,1114
s__Nocardioides_sp._URHA0032,3430,544,848,1100,814,574,482,944,690,1630,522,3946,2388,1160,2400,5048,912,662,10300,402,984,840,4324,946
s__Pleurocapsa_sp._PCC_7319,2454,1466,902,2804,3140,8028,856,2612,2546,1374,814,1466,880,704,1270,1900,2290,1930,2318,700,1524,2310,834,728
s__Pseudonocardia_dioxanivorans,2340,1038,1278,1524,3842,2214,596,3080,1310,1576,420,2498,1738,2748,2032,3492,2316,2004,2178,494,1788,1626,2404,1104
s__Fischerella_sp._PCC_9605,838,532,1646,1700,2818,13718,530,1932,1326,868,2252,1676,982,1504,1012,1428,1798,1140,2126,840,1030,1524,1206,1204
s__Frankia_sp._EuI1c,3264,1222,1362,1274,3612,1426,680,2868,1006,1016,384,1824,2348,3850,2612,4594,2738,1756,1198,662,1236,1112,2622,914
s__Tateyamaria_sp._ANG-S1,2028,2234,320,5622,1636,1260,680,1284,3838,2584,162,1652,778,304,908,1516,1564,1542,1794,182,6622,5022,1192,836
s__Belnapia_moabensis,2550,1878,1726,1196,4394,2982,638,2216,1148,760,3224,2078,1694,1388,2262,2768,2038,1140,1264,1972,1708,1402,1510,1622
s__Desulfovibrio_magneticus,1068,692,2186,1624,2734,5538,714,1800,1260,2102,2850,1670,1872,4490,1358,1500,1612,1418,1520,1934,1030,1456,1244,1806
s__unclassified_g__Massilia,832,390,3938,1310,3750,1664,820,3562,1692,508,3420,2440,1414,1806,1260,1576,2484,1538,1192,3864,976,1348,1624,1952
s__Erythrobacter_litoralis,2522,3370,716,2158,2102,1476,1396,1396,1656,1272,598,1724,1122,700,1256,1966,1788,5082,4044,508,3422,1178,2856,998
s__Patulibacter_minatonensis,3110,2410,1322,710,2190,586,328,1934,676,638,358,1730,2722,6030,3090,5776,1996,1022,1164,498,1000,754,3592,1488
s__Mycobacterium_kansasii,2516,1258,1816,848,3096,6742,430,1914,730,1620,1104,1552,1842,3910,1802,4404,1774,1218,888,1076,946,786,1820,1016
s__Oceanospirillum_beijerinckii,634,860,1010,4406,3814,4244,1388,3320,4124,1346,408,2160,374,334,806,720,3008,1972,2238,428,1912,3864,780,920
s__Cryptosporangium_arvum,3550,1336,1302,1670,2098,2198,498,2144,1106,2184,558,2208,2040,1958,2904,4054,1550,1584,2198,770,1742,1306,2916,1160
s__Endozoicomonas_montiporae,876,1226,852,3994,5562,3004,1250,3814,3180,1426,390,1784,538,364,1090,1614,3168,2334,1750,530,1748,2834,806,886
s__Gemmata_sp._SH-PL17,1118,648,3644,1088,5682,7406,604,2324,994,960,944,1568,1128,1774,1094,1898,2216,1446,2612,1336,1184,1210,878,1058
s__Magnetococcus_marinus,960,858,1238,2580,3916,8124,1130,3144,2416,1358,526,1302,806,1526,1142,1306,2538,1808,1414,734,1534,2826,776,848
s__Verrucomicrobia_bacterium_IMCC26134,612,298,3446,5564,2242,4658,524,5184,928,540,3134,1750,898,1884,882,1012,1498,850,1376,2618,1096,884,1216,1534
s__Spongiibacter_sp._IMCC21906,1118,908,1418,4356,4190,1940,1268,3472,3256,1958,638,1682,660,592,1254,1404,2810,2150,2152,708,1634,3070,800,1186
