Species,BBW,BBZ,BLG,HH,HZ,JJ,JL,LCG,LH,LHH,LHK,MJ,NL,NL2,NL6,NL7,OJ,SY,SYC,WSK,YR,YRS,ZJ,ZJJ
s__Isosphaera_pallida,1058,844,2474,1940,7902,9052,944,3446,1670,1120,944,2606,1124,1642,1380,1998,3756,1990,2568,1258,1868,1848,1008,1370
s__Ramlibacter_sp._Leaf400,1034,262,6250,1118,3610,822,1114,3910,1292,662,4920,3814,1748,1520,1658,2078,2640,1742,1126,5854,1160,1092,3330,2992
s__Niveispirillum_irakense,1312,464,2184,1714,4996,13986,1114,3014,1984,944,1640,1864,1012,1152,1300,2008,2894,2154,1894,1428,1510,2056,1532,1532
s__Alcanivorax_pacificus,1244,1152,6412,3820,5690,1000,1624,3802,3762,1470,1788,2424,846,1012,1464,1446,3626,2534,2060,1244,2066,2864,1078,1234
s__Marinobacter_nanhaiticus,1300,1166,1298,5076,5272,3362,1418,3826,4954,2044,670,1970,700,598,1334,1660,4210,2618,2910,516,2744,3842,1076,1014
s__Ruegeria_lacuscaerulensis,2888,2260,448,9266,1908,1466,996,2036,4078,3132,154,1782,984,344,1644,2192,1764,2920,1714,158,6144,4312,1586,1374
s__Microvirga_lupini,2354,1850,2676,1814,4434,3682,1000,3036,1984,1208,1862,2202,2216,3520,2412,4008,2578,1794,1400,1988,1796,2018,1988,1694
s__Kribbella_catacumbae,3252,1598,1428,2220,2820,3998,620,3300,1584,2416,496,2492,1874,1426,2700,4244,2644,1842,4890,612,1936,2222,3518,1082
s__Acidimicrobiia_bacterium_BACL6_MAG-120924-bin43,3628,1674,3162,1444,4390,252,662,6258,1378,1074,456,3386,1800,1082,2364,4520,3830,2756,1864,554,2830,1610,3274,958
s__Azospirillum_thiophilum,1398,1060,1906,1834,5406,13672,1126,3018,1942,910,1158,1748,1296,1588,1580,1966,2644,1644,1280,1394,1726,2282,1282,1330
s__Chlorobium_phaeobacteroides,966,1024,2088,3706,3502,8676,1150,3378,2606,3518,1590,1892,1086,2318,1164,1266,2312,2242,1916,1394,1754,3062,990,1410
s__Prolixibacter_bellariivorans,906,1076,1700,4182,2008,8534,922,2214,2950,6284,952,2380,780,1856,1064,876,1372,2804,5456,786,1606,2012,876,1372
s__Sunxiuqinia_dokdonensis,740,758,1440,4540,1706,4104,684,2534,2796,5146,1060,2280,598,1192,988,914,1180,7788,7604,694,1312,1910,704,2148
s__Candidatus_Bathyarchaeota_archaeon_B26-2,656,402,404,824,1320,37622,312,1074,608,686,288,842,794,2608,742,800,882,612,438,300,496,990,524,550
s__Sulfitobacter_mediterraneus,2440,2224,412,7786,1650,840,728,1610,6028,2060,98,1894,758,180,1542,1950,1674,2090,1338,108,7992,6798,1372,1010
s__Chthonomonas_calidirosea,1260,674,2054,1330,3490,16700,728,2516,1098,1096,1126,2112,1572,2788,1540,1972,2150,1242,2162,1264,1280,1312,1314,1478
s__Nodosilinea_nodulosa,3500,1044,1106,3706,3702,7858,1082,3222,3406,1804,810,1940,1042,1184,1406,1980,2872,1850,2510,684,1898,3006,1322,1170
s__actinobacterium_acAMD-2,8098,2994,2068,4462,1650,120,454,1270,1158,4866,1766,1182,2892,610,4390,4892,1080,1170,476,1054,1092,486,4260,1328
s__Halorhodospira_halophila,966,1340,1160,4228,4938,4730,1920,3372,4226,1248,1082,2212,700,794,1324,1340,3588,2580,2074,852,2756,3840,1170,1314
s__Lysobacter_sp._Root494,1042,998,3886,3982,2954,2156,1178,2584,5182,1386,2076,2362,974,812,1284,1766,2166,3112,3480,2058,2466,3292,1144,1274
s__Halomonas_anticariensis,1330,738,962,4146,4968,5268,1440,3812,4508,948,426,2482,1018,964,1446,1904,3482,2494,2336,418,2496,3916,954,1100
s__unclassified_g__Mesorhizobium,2938,2442,2050,2142,3690,3848,1022,3060,2358,1194,1082,2240,2044,2176,2678,3814,2484,2160,1342,1066,2010,2122,2014,1486
s__Uliginosibacterium_gangwonense,1038,468,5796,1986,3260,3616,936,3502,2066,1292,3682,2404,1652,1696,1100,1182,4162,1622,1196,4470,1222,1484,1574,1754
s__Mesorhizobium_sp._LC103,3748,2862,1394,1990,3914,3580,948,2682,1974,1200,598,2228,2030,1674,3208,4376,2312,1794,1660,708,2354,2112,2104,1642
